1064	4	治平
1068	10	熙寧
1078	8	元豐
1086	9	元祐
1094	5	紹聖
1098	3	元符
1101	1	建中靖國
1102	5	崇寧
1107	4	大觀
1111	8	政和
1118	2	重和
1119	7	宣和
1126	2	靖康
1127	4	建炎
1131	32	紹興
1163	2	隆興
1165	9	乾道
1174	16	淳熙
1190	5	紹熙
1195	6	慶元
1201	4	嘉泰
1205	3	開禧
1208	17	嘉定
1225	3	寶慶
1228	6	紹定
1234	3	端平
1237	4	嘉熙
1241	12	淳祐
1253	6	寶祐
1259	1	開慶
1260	5	景定
1265	10	咸淳
1275	2	德祐
1276	3	景炎
1278	2	祥興
916	7	神冊
922	5	天贊
938	10	會同
947	1	大同
947	5	天祿
951	19	應歷
969	11	保寧
983	30	統和
1012	10	開泰
1021	11	太平
1031	2	景福
1032	24	重熙
1055	10	清寧
1065	10	咸雍
1075	10	大康
1085	10	大安
1095	7	壽昌
1101	10	乾統
1111	10	天慶
1121	5	保大
1117	7	天輔
1138	3	天眷
1141	9	皇統
1149	5	天德
1153	4	貞元
1156	6	正隆
1161	29	大定
1190	7	明昌
1196	5	承安
1201	8	泰和
1209	3	大安
1212	2	崇慶
1213	1	至寧
1213	5	貞祐
1217	6	興定
1222	2	元光
1224	9	正大
1232	1	開興
1232	3	天興
1260	5	中統
1264	31	至元
1295	3	元貞
1297	11	大德
1308	4	至大
1312	2	皇慶
1314	7	延祐
1321	3	至治
1324	5	泰定
1328	1	致和
1328	1	天順
1328	3	天歷
1330	4	至順
1333	3	元統
1335	6	後至元
1341	28	至正
1368	31	洪武
1399	4	建文
1403	22	永樂
1425	1	洪熙
1426	10	宣德
1436	14	正統
1450	8	景泰
1457	8	天顺
1465	23	成化
1488	18	弘治
1506	16	正德
1522	45	嘉靖
1567	6	隆慶
1573	48	萬曆
1620	1	泰昌
1621	7	天啓
1628	17	崇禎
1616	11	天命
1627	10	天聰
1636	8	崇德
1644	18	順治
1662	61	康熙
1723	13	雍正
1736	60	乾隆
1796	25	嘉慶
1821	30	道光
1851	11	咸豐
1862	13	同治
1875	34	光緒
1909	3	宣統
