西周	-1050
東周	-770
秦	-221
西漢	-206
東漢	25
魏	220
西晉	265
東晉	317
南北朝	420
隋	581
唐	618
五代	907
北宋	960
南宋	1127
元	1279
明	1368
清	1644
中華民國	1912
新中國	1949
